CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,IncidentFromDate,PoliceStationID,CaseStatusID,CrimeMajorHeadID,CrimeMinorHeadID,latitude,longitude,BriefFacts,mo_tags
14,100040017202500001,202500001,2025-10-12,2025-10-12 08:09:00,17,2,2,202,15.349832,75.122369,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: shoplifting,unattended_bag,vehicle_theft.","shoplifting,unattended_bag,vehicle_theft"
15,100040016202500001,202500001,2025-10-05,2025-10-05 18:00:00,16,1,2,201,15.327331,75.148562,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: window_forced,broken_lock,residential.","window_forced,broken_lock,residential"
16,100040018202500001,202500001,2025-10-24,2025-10-24 12:50:00,18,2,2,202,15.387549,75.112387,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: shoplifting,daytime,vehicle_theft.","shoplifting,daytime,vehicle_theft"
17,100040019202500001,202500001,2025-10-02,2025-10-02 09:24:00,19,3,2,201,15.402923,75.090208,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: cctv_sprayed,night_entry,residential.","cctv_sprayed,night_entry,residential"
18,100040020202500002,202500002,2025-10-24,2025-10-24 17:40:00,20,1,2,202,15.40317,75.107969,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: vehicle_theft,daytime,shoplifting.","vehicle_theft,daytime,shoplifting"
19,100040019202500002,202500002,2025-10-07,2025-10-07 08:45:00,19,1,2,201,15.32753,75.156108,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: broken_lock,night_entry,cctv_sprayed.","broken_lock,night_entry,cctv_sprayed"
20,100040019202500003,202500003,2025-10-21,2025-10-21 03:03:00,19,2,2,202,15.388512,75.101802,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: unattended_bag,vehicle_theft,shoplifting.","unattended_bag,vehicle_theft,shoplifting"
21,100040017202500002,202500002,2025-10-28,2025-10-28 02:03:00,17,2,2,201,15.372827,75.094574,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: night_entry,broken_lock,residential.","night_entry,broken_lock,residential"
22,100040018202500002,202500002,2025-10-10,2025-10-10 02:25:00,18,2,2,202,15.359402,75.12403,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: shoplifting,unattended_bag,daytime.","shoplifting,unattended_bag,daytime"
23,100040018202500003,202500003,2025-10-27,2025-10-27 07:59:00,18,1,2,201,15.325868,75.121747,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: cctv_sprayed,night_entry,broken_lock.","cctv_sprayed,night_entry,broken_lock"
24,100040018202500004,202500004,2025-10-09,2025-10-09 23:10:00,18,2,2,202,15.385837,75.111798,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: vehicle_theft,pickpocketing,shoplifting.","vehicle_theft,pickpocketing,shoplifting"
25,100040018202500005,202500005,2025-10-20,2025-10-20 08:16:00,18,1,2,201,15.395087,75.091959,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: broken_lock,window_forced,cctv_sprayed.","broken_lock,window_forced,cctv_sprayed"
26,100040018202500006,202500006,2025-10-25,2025-10-25 04:39:00,18,2,2,202,15.358209,75.148835,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: daytime,pickpocketing,unattended_bag.","daytime,pickpocketing,unattended_bag"
27,100040017202500003,202500003,2025-10-12,2025-10-12 17:50:00,17,2,2,201,15.352039,75.121407,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: night_entry,broken_lock,residential.","night_entry,broken_lock,residential"
28,100040020202500003,202500003,2025-10-06,2025-10-06 21:07:00,20,3,2,202,15.381284,75.13146,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: unattended_bag,vehicle_theft,daytime.","unattended_bag,vehicle_theft,daytime"
29,100040019202500004,202500004,2025-10-07,2025-10-07 04:00:00,19,3,2,201,15.355905,75.102117,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: broken_lock,residential,window_forced.","broken_lock,residential,window_forced"
30,100040017202500004,202500004,2025-10-30,2025-10-30 14:39:00,17,2,2,202,15.35153,75.113102,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: unattended_bag,shoplifting,vehicle_theft.","unattended_bag,shoplifting,vehicle_theft"
31,100040019202500005,202500005,2025-10-26,2025-10-26 22:32:00,19,3,2,201,15.396164,75.096942,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: cctv_sprayed,broken_lock,night_entry.","cctv_sprayed,broken_lock,night_entry"
32,100040018202500007,202500007,2025-10-23,2025-10-23 07:23:00,18,3,2,202,15.35947,75.163142,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: unattended_bag,daytime,pickpocketing.","unattended_bag,daytime,pickpocketing"
33,100040016202500002,202500002,2025-10-23,2025-10-23 12:35:00,16,2,2,201,15.36182,75.120674,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: residential,night_entry,window_forced.","residential,night_entry,window_forced"
34,100040019202500006,202500006,2025-10-02,2025-10-02 15:06:00,19,2,2,202,15.371745,75.147091,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: shoplifting,pickpocketing,vehicle_theft.","shoplifting,pickpocketing,vehicle_theft"
35,100040020202500004,202500004,2025-10-17,2025-10-17 03:49:00,20,3,2,201,15.359252,75.098243,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: residential,window_forced,broken_lock.","residential,window_forced,broken_lock"
36,100040018202500008,202500008,2025-10-30,2025-10-30 00:15:00,18,2,2,202,15.394702,75.14029,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: pickpocketing,vehicle_theft,unattended_bag.","pickpocketing,vehicle_theft,unattended_bag"
37,100040016202500003,202500003,2025-10-05,2025-10-05 09:32:00,16,2,2,201,15.338211,75.090035,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: night_entry,window_forced,cctv_sprayed.","night_entry,window_forced,cctv_sprayed"
38,100040020202500005,202500005,2025-10-21,2025-10-21 04:34:00,20,1,2,202,15.392889,75.085955,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: daytime,pickpocketing,vehicle_theft.","daytime,pickpocketing,vehicle_theft"
39,100040016202500004,202500004,2025-10-24,2025-10-24 01:06:00,16,1,2,201,15.360157,75.13567,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: residential,broken_lock,night_entry.","residential,broken_lock,night_entry"
40,100040020202500006,202500006,2025-10-13,2025-10-13 17:23:00,20,2,2,202,15.33436,75.135161,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: shoplifting,daytime,pickpocketing.","shoplifting,daytime,pickpocketing"
41,100040016202500005,202500005,2025-10-12,2025-10-12 21:41:00,16,3,2,201,15.3482,75.119623,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: night_entry,broken_lock,window_forced.","night_entry,broken_lock,window_forced"
42,100040018202500009,202500009,2025-10-12,2025-10-12 21:40:00,18,2,2,202,15.394642,75.145441,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: pickpocketing,daytime,vehicle_theft.","pickpocketing,daytime,vehicle_theft"
43,100040016202500006,202500006,2025-10-27,2025-10-27 10:42:00,16,2,2,201,15.398805,75.092385,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: residential,broken_lock,window_forced.","residential,broken_lock,window_forced"
44,100040017202500005,202500005,2025-10-27,2025-10-27 00:08:00,17,2,2,202,15.380217,75.122544,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: pickpocketing,vehicle_theft,shoplifting.","pickpocketing,vehicle_theft,shoplifting"
45,100040019202500007,202500007,2025-10-23,2025-10-23 17:46:00,19,2,2,201,15.376738,75.142343,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: window_forced,residential,broken_lock.","window_forced,residential,broken_lock"
46,100040019202500008,202500008,2025-10-03,2025-10-03 04:47:00,19,1,2,202,15.362576,75.096548,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: pickpocketing,daytime,shoplifting.","pickpocketing,daytime,shoplifting"
47,100040016202500007,202500007,2025-10-04,2025-10-04 01:37:00,16,2,2,201,15.356343,75.148422,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: residential,broken_lock,window_forced.","residential,broken_lock,window_forced"
48,100040019202500009,202500009,2025-10-27,2025-10-27 03:01:00,19,1,2,202,15.352511,75.137814,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: vehicle_theft,unattended_bag,shoplifting.","vehicle_theft,unattended_bag,shoplifting"
49,100040018202500010,202500010,2025-10-17,2025-10-17 21:30:00,18,1,2,201,15.360463,75.145494,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: night_entry,residential,broken_lock.","night_entry,residential,broken_lock"
50,100040016202500008,202500008,2025-10-23,2025-10-23 16:04:00,16,1,2,202,15.365845,75.101926,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: daytime,pickpocketing,vehicle_theft.","daytime,pickpocketing,vehicle_theft"
51,100040019202500010,202500010,2025-10-09,2025-10-09 05:36:00,19,1,2,201,15.341035,75.102067,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: cctv_sprayed,window_forced,night_entry.","cctv_sprayed,window_forced,night_entry"
52,100040019202500011,202500011,2025-10-12,2025-10-12 23:47:00,19,3,2,202,15.35299,75.08885,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: daytime,shoplifting,unattended_bag.","daytime,shoplifting,unattended_bag"
53,100040017202500006,202500006,2025-10-10,2025-10-10 06:03:00,17,2,2,201,15.3757,75.104184,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: residential,window_forced,cctv_sprayed.","residential,window_forced,cctv_sprayed"
54,100040019202500012,202500012,2025-10-01,2025-10-01 06:54:00,19,2,2,202,15.35367,75.085303,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: shoplifting,daytime,pickpocketing.","shoplifting,daytime,pickpocketing"
55,100040017202500007,202500007,2025-10-19,2025-10-19 11:32:00,17,1,2,201,15.399408,75.136911,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: broken_lock,night_entry,window_forced.","broken_lock,night_entry,window_forced"
56,100040019202500013,202500013,2025-10-19,2025-10-19 16:43:00,19,1,2,202,15.34031,75.114689,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: pickpocketing,unattended_bag,daytime.","pickpocketing,unattended_bag,daytime"
57,100040020202500007,202500007,2025-10-20,2025-10-20 06:57:00,20,3,2,201,15.367356,75.138464,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: residential,cctv_sprayed,window_forced.","residential,cctv_sprayed,window_forced"
58,100030011202500001,202500001,2025-03-28,2025-03-28 09:14:00,11,3,3,302,12.964742,74.817719,"Regular crime incident report. Crime type: Identity Theft. MO tags matching 'document_forgery,otp_fraud,sim_swap'. Location details archived.","document_forgery,otp_fraud,sim_swap"
59,100080037202500001,202500001,2025-11-01,2025-11-01 15:24:00,37,1,3,302,13.882649,75.515328,"Regular crime incident report. Crime type: Identity Theft. MO tags matching 'sim_swap,document_forgery,identity_theft'. Location details archived.","sim_swap,document_forgery,identity_theft"
60,100100046202500001,202500001,2025-05-19,2025-05-19 17:35:00,46,1,4,402,17.90016,77.490456,"Regular crime incident report. Crime type: Drug Peddling. MO tags matching 'bulk_supply,dealership,synthetic_drugs'. Location details archived.","bulk_supply,dealership,synthetic_drugs"
61,100060027202500001,202500001,2025-09-06,2025-09-06 20:00:00,27,2,4,401,17.287617,76.871831,"Regular crime incident report. Crime type: Narcotics Possession. MO tags matching 'possession,college_area,personal_use'. Location details archived.","possession,college_area,personal_use"
62,100070031202500001,202500001,2025-02-01,2025-02-01 20:08:00,31,3,2,201,14.474949,75.954186,"Regular crime incident report. Crime type: Burglary. MO tags matching 'residential,cctv_sprayed,broken_lock'. Location details archived.","residential,cctv_sprayed,broken_lock"
63,100040020202500008,202500008,2025-09-01,2025-09-01 17:34:00,20,2,4,401,15.414431,75.173834,"Regular crime incident report. Crime type: Narcotics Possession. MO tags matching 'personal_use,possession,transit_seizure'. Location details archived.","personal_use,possession,transit_seizure"
64,100090042202500001,202500001,2025-09-18,2025-09-18 18:09:00,42,1,4,402,15.165367,76.980031,"Regular crime incident report. Crime type: Drug Peddling. MO tags matching 'bulk_supply,synthetic_drugs,network_ring'. Location details archived.","bulk_supply,synthetic_drugs,network_ring"
65,100040019202500014,202500014,2025-01-12,2025-01-12 02:41:00,19,1,3,302,15.419337,75.163313,"Regular crime incident report. Crime type: Identity Theft. MO tags matching 'otp_fraud,sim_swap,identity_theft'. Location details archived.","otp_fraud,sim_swap,identity_theft"
66,100070034202500001,202500001,2025-07-10,2025-07-10 22:18:00,34,2,2,202,14.453586,75.970619,"Regular crime incident report. Crime type: Theft. MO tags matching 'unattended_bag,vehicle_theft,shoplifting'. Location details archived.","unattended_bag,vehicle_theft,shoplifting"
67,100030015202500001,202500001,2025-06-04,2025-06-04 05:04:00,15,3,3,303,12.861061,74.89681,"Regular crime incident report. Crime type: Crypto Scam. MO tags matching 'fake_exchange,rug_pull,investment_fraud'. Location details archived.","fake_exchange,rug_pull,investment_fraud"
68,100050023202500001,202500001,2025-05-10,2025-05-10 21:14:00,23,3,1,102,15.833059,74.492361,"Regular crime incident report. Crime type: Kidnapping. MO tags matching 'acquaintance_involved,vehicle_used,minor_victim'. Location details archived.","acquaintance_involved,vehicle_used,minor_victim"
69,100100048202500001,202500001,2025-07-27,2025-07-27 13:05:00,48,1,2,202,17.901889,77.533663,"Regular crime incident report. Crime type: Theft. MO tags matching 'vehicle_theft,unattended_bag,daytime'. Location details archived.","vehicle_theft,unattended_bag,daytime"
70,100100050202500001,202500001,2025-12-04,2025-12-04 22:40:00,50,3,3,303,17.897319,77.48669,"Regular crime incident report. Crime type: Crypto Scam. MO tags matching 'fake_exchange,rug_pull,investment_fraud'. Location details archived.","fake_exchange,rug_pull,investment_fraud"
71,100040016202500009,202500009,2025-04-06,2025-04-06 06:39:00,16,1,1,101,15.327856,75.164492,"Regular crime incident report. Crime type: Murder. MO tags matching 'outdoor,private_dispute,rage'. Location details archived.","outdoor,private_dispute,rage"
72,100040019202500015,202500015,2025-12-02,2025-12-02 00:48:00,19,3,1,103,15.331294,75.141426,"Regular crime incident report. Crime type: Assault. MO tags matching 'domestic_dispute,drunken_altercation,street_brawl'. Location details archived.","domestic_dispute,drunken_altercation,street_brawl"
73,100060027202500002,202500002,2025-01-07,2025-01-07 20:52:00,27,2,2,201,17.318008,76.883551,"Regular crime incident report. Crime type: Burglary. MO tags matching 'night_entry,cctv_sprayed,broken_lock'. Location details archived.","night_entry,cctv_sprayed,broken_lock"
74,100060028202500001,202500001,2025-06-07,2025-06-07 03:53:00,28,1,2,203,17.331971,76.838108,"Regular crime incident report. Crime type: Robbery. MO tags matching 'masked_suspects,highway_heist,cash_transit'. Location details archived.","masked_suspects,highway_heist,cash_transit"
75,100020010202500001,202500001,2025-04-25,2025-04-25 03:06:00,10,1,1,102,12.333476,76.632501,"Regular crime incident report. Crime type: Kidnapping. MO tags matching 'vehicle_used,ransom_demand,acquaintance_involved'. Location details archived.","vehicle_used,ransom_demand,acquaintance_involved"
76,100040018202500011,202500011,2025-12-21,2025-12-21 23:53:00,18,2,1,102,15.380815,75.140726,"Regular crime incident report. Crime type: Kidnapping. MO tags matching 'vehicle_used,acquaintance_involved,minor_victim'. Location details archived.","vehicle_used,acquaintance_involved,minor_victim"
77,100040018202500012,202500012,2025-03-15,2025-03-15 03:05:00,18,3,1,101,15.340223,75.093347,"Regular crime incident report. Crime type: Murder. MO tags matching 'outdoor,weapon_sharp,nighttime'. Location details archived.","outdoor,weapon_sharp,nighttime"
78,100010002202500001,202500001,2025-02-22,2025-02-22 20:09:00,2,3,2,203,12.975014,77.647974,"Regular crime incident report. Crime type: Robbery. MO tags matching 'weapon_knife,snatching,highway_heist'. Location details archived.","weapon_knife,snatching,highway_heist"
79,100060027202500003,202500003,2025-08-07,2025-08-07 11:07:00,27,2,1,102,17.386758,76.884992,"Regular crime incident report. Crime type: Kidnapping. MO tags matching 'acquaintance_involved,vehicle_used,minor_victim'. Location details archived.","acquaintance_involved,vehicle_used,minor_victim"
80,100060028202500002,202500002,2025-02-02,2025-02-02 18:04:00,28,3,2,202,17.374351,76.789662,"Regular crime incident report. Crime type: Theft. MO tags matching 'pickpocketing,daytime,unattended_bag'. Location details archived.","pickpocketing,daytime,unattended_bag"
81,100020009202500001,202500001,2025-01-22,2025-01-22 06:18:00,9,2,3,302,12.345469,76.609241,"Regular crime incident report. Crime type: Identity Theft. MO tags matching 'identity_theft,otp_fraud,document_forgery'. Location details archived.","identity_theft,otp_fraud,document_forgery"
82,100090042202500002,202500002,2025-09-16,2025-09-16 12:50:00,42,1,3,303,15.194672,76.981057,"Regular crime incident report. Crime type: Crypto Scam. MO tags matching 'rug_pull,crypto_scam,investment_fraud'. Location details archived.","rug_pull,crypto_scam,investment_fraud"
83,100080037202500002,202500002,2025-08-09,2025-08-09 23:23:00,37,1,3,303,13.918887,75.586445,"Regular crime incident report. Crime type: Crypto Scam. MO tags matching 'crypto_scam,fake_exchange,rug_pull'. Location details archived.","crypto_scam,fake_exchange,rug_pull"
84,100080038202500001,202500001,2025-06-20,2025-06-20 17:43:00,38,1,2,202,13.916483,75.588701,"Regular crime incident report. Crime type: Theft. MO tags matching 'daytime,vehicle_theft,shoplifting'. Location details archived.","daytime,vehicle_theft,shoplifting"
85,100100050202500002,202500002,2025-12-24,2025-12-24 02:01:00,50,1,3,303,17.967574,77.553046,"Regular crime incident report. Crime type: Crypto Scam. MO tags matching 'fake_exchange,rug_pull,investment_fraud'. Location details archived.","fake_exchange,rug_pull,investment_fraud"
86,100050022202500001,202500001,2025-03-05,2025-03-05 07:00:00,22,3,2,202,15.82958,74.531202,"Regular crime incident report. Crime type: Theft. MO tags matching 'daytime,vehicle_theft,shoplifting'. Location details archived.","daytime,vehicle_theft,shoplifting"
87,100030015202500002,202500002,2025-06-20,2025-06-20 08:19:00,15,1,4,402,12.96263,74.905454,"Regular crime incident report. Crime type: Drug Peddling. MO tags matching 'peddling,dealership,network_ring'. Location details archived.","peddling,dealership,network_ring"
88,100020007202500001,202500001,2025-01-21,2025-01-21 04:23:00,7,3,2,203,12.298734,76.581591,"Regular crime incident report. Crime type: Robbery. MO tags matching 'snatching,cash_transit,masked_suspects'. Location details archived.","snatching,cash_transit,masked_suspects"
89,100050021202500001,202500001,2025-02-22,2025-02-22 14:42:00,21,2,2,203,15.830204,74.459862,"Regular crime incident report. Crime type: Robbery. MO tags matching 'highway_heist,masked_suspects,cash_transit'. Location details archived.","highway_heist,masked_suspects,cash_transit"
90,100070032202500001,202500001,2025-12-11,2025-12-11 09:58:00,32,1,1,101,14.433123,75.879351,"Regular crime incident report. Crime type: Murder. MO tags matching 'rage,nighttime,weapon_sharp'. Location details archived.","rage,nighttime,weapon_sharp"
91,100090044202500001,202500001,2025-02-24,2025-02-24 14:40:00,44,1,3,301,15.085653,76.873823,"Regular crime incident report. Crime type: Phishing. MO tags matching 'phishing_link,email_spoofing,credential_harvesting'. Location details archived.","phishing_link,email_spoofing,credential_harvesting"
92,100040016202500010,202500010,2025-05-14,2025-05-14 19:25:00,16,3,3,302,15.379025,75.159828,"Regular crime incident report. Crime type: Identity Theft. MO tags matching 'sim_swap,document_forgery,otp_fraud'. Location details archived.","sim_swap,document_forgery,otp_fraud"
93,100070034202500002,202500002,2025-07-10,2025-07-10 01:17:00,34,1,2,201,14.456004,75.92725,"Regular crime incident report. Crime type: Burglary. MO tags matching 'residential,night_entry,cctv_sprayed'. Location details archived.","residential,night_entry,cctv_sprayed"
94,100090041202500001,202500001,2025-08-14,2025-08-14 14:54:00,41,1,4,401,15.093428,76.862992,"Regular crime incident report. Crime type: Narcotics Possession. MO tags matching 'possession,transit_seizure,college_area'. Location details archived.","possession,transit_seizure,college_area"
95,100070033202500001,202500001,2025-12-20,2025-12-20 04:40:00,33,2,2,203,14.41376,75.933533,"Regular crime incident report. Crime type: Robbery. MO tags matching 'highway_heist,weapon_knife,cash_transit'. Location details archived.","highway_heist,weapon_knife,cash_transit"
96,100100046202500002,202500002,2025-04-28,2025-04-28 18:23:00,46,3,1,103,17.886344,77.542487,"Regular crime incident report. Crime type: Assault. MO tags matching 'domestic_dispute,street_brawl,public_place'. Location details archived.","domestic_dispute,street_brawl,public_place"
97,100010005202500001,202500001,2025-12-14,2025-12-14 11:07:00,5,1,1,103,12.919157,77.641897,"Regular crime incident report. Crime type: Assault. MO tags matching 'public_place,domestic_dispute,drunken_altercation'. Location details archived.","public_place,domestic_dispute,drunken_altercation"
98,100070033202500002,202500002,2025-08-13,2025-08-13 06:03:00,33,2,3,303,14.412744,75.895966,"Regular crime incident report. Crime type: Crypto Scam. MO tags matching 'crypto_scam,fake_exchange,investment_fraud'. Location details archived.","crypto_scam,fake_exchange,investment_fraud"
99,100050023202500002,202500002,2025-11-01,2025-11-01 20:49:00,23,2,1,103,15.844601,74.551434,"Regular crime incident report. Crime type: Assault. MO tags matching 'public_place,weapon_blunt,street_brawl'. Location details archived.","public_place,weapon_blunt,street_brawl"
100,100020010202500002,202500002,2025-05-02,2025-05-02 20:33:00,10,3,2,202,12.344656,76.695873,"Regular crime incident report. Crime type: Theft. MO tags matching 'pickpocketing,shoplifting,daytime'. Location details archived.","pickpocketing,shoplifting,daytime"
101,100100046202500003,202500003,2025-07-28,2025-07-28 08:35:00,46,2,3,301,17.917935,77.504205,"Regular crime incident report. Crime type: Phishing. MO tags matching 'credential_harvesting,fake_bank,phishing_link'. Location details archived.","credential_harvesting,fake_bank,phishing_link"
102,100060026202500001,202500001,2025-07-14,2025-07-14 12:16:00,26,1,1,101,17.341501,76.854258,"Regular crime incident report. Crime type: Murder. MO tags matching 'rage,weapon_sharp,private_dispute'. Location details archived.","rage,weapon_sharp,private_dispute"
103,100050025202500001,202500001,2025-01-03,2025-01-03 02:04:00,25,3,3,302,15.863464,74.482381,"Regular crime incident report. Crime type: Identity Theft. MO tags matching 'identity_theft,sim_swap,otp_fraud'. Location details archived.","identity_theft,sim_swap,otp_fraud"
104,100060030202500001,202500001,2025-04-21,2025-04-21 15:09:00,30,1,2,201,17.334395,76.846206,"Regular crime incident report. Crime type: Burglary. MO tags matching 'night_entry,window_forced,residential'. Location details archived.","night_entry,window_forced,residential"
105,100090045202500001,202500001,2025-07-05,2025-07-05 09:50:00,45,2,4,401,15.130301,76.888051,"Regular crime incident report. Crime type: Narcotics Possession. MO tags matching 'personal_use,transit_seizure,college_area'. Location details archived.","personal_use,transit_seizure,college_area"
106,100080037202500003,202500003,2025-08-10,2025-08-10 06:05:00,37,1,3,301,13.979099,75.515602,"Regular crime incident report. Crime type: Phishing. MO tags matching 'credential_harvesting,fake_bank,email_spoofing'. Location details archived.","credential_harvesting,fake_bank,email_spoofing"
107,100070033202500003,202500003,2025-06-12,2025-06-12 15:19:00,33,1,4,402,14.462576,75.873811,"Regular crime incident report. Crime type: Drug Peddling. MO tags matching 'dealership,peddling,synthetic_drugs'. Location details archived.","dealership,peddling,synthetic_drugs"
