id,crime_type,date,time,lat,long,district,station,mo_tags,status
179,Robbery,2025-09-07,13:19:00,15.383982,75.135278,Hubli-Dharwad,Suburban,"snatching,cash_transit",Under Investigation
180,Narcotics,2025-09-05,15:05:00,15.330413,75.155547,Hubli-Dharwad,Vidyagiri,"college_area,transit_seizure",Solved
181,Robbery,2025-09-13,03:35:00,15.387582,75.099828,Hubli-Dharwad,Dharwad Town,"cash_transit,highway_heist",Under Investigation
182,Cyber Crime,2025-09-24,15:31:00,15.359183,75.167412,Hubli-Dharwad,Town Station,"crypto_scam,identity_theft",Charge Sheeted
183,Theft,2025-09-09,16:29:00,15.380998,75.176331,Hubli-Dharwad,Town Station,"daytime,shoplifting",Under Investigation
184,Burglary,2025-10-10,23:23:00,15.385219,75.159079,Hubli-Dharwad,Dharwad Town,"residential,night_entry",Under Investigation
185,Burglary,2025-10-08,23:11:00,15.396985,75.115682,Hubli-Dharwad,Town Station,"window_forced,cctv_sprayed",Under Investigation
186,Burglary,2025-10-25,01:10:00,15.368258,75.110521,Hubli-Dharwad,Suburban,"residential,broken_lock",Charge Sheeted
187,Burglary,2025-10-18,04:51:00,15.391708,75.117037,Hubli-Dharwad,Vidyagiri,"night_entry,residential",Unsolved
188,Burglary,2025-10-16,22:50:00,15.345122,75.141654,Hubli-Dharwad,Vidyagiri,"night_entry,broken_lock",Solved
189,Burglary,2025-10-05,20:27:00,15.328145,75.111466,Hubli-Dharwad,Suburban,"broken_lock,night_entry",Charge Sheeted
190,Burglary,2025-10-17,09:13:00,15.369052,75.108673,Hubli-Dharwad,Suburban,"residential,window_forced",Under Investigation
191,Burglary,2025-10-20,02:48:00,15.343566,75.111769,Hubli-Dharwad,Dharwad Town,"night_entry,residential",Under Investigation
192,Burglary,2025-10-12,05:53:00,15.375452,75.092881,Hubli-Dharwad,Gokul Road,"cctv_sprayed,window_forced",Charge Sheeted
193,Burglary,2025-10-16,06:23:00,15.359183,75.090886,Hubli-Dharwad,Gokul Road,"cctv_sprayed,night_entry",Solved
194,Burglary,2025-10-10,07:16:00,15.360088,75.158683,Hubli-Dharwad,Vidyagiri,"cctv_sprayed,night_entry",Unsolved
195,Burglary,2025-10-14,16:08:00,15.338406,75.159155,Hubli-Dharwad,Suburban,"window_forced,broken_lock",Under Investigation
196,Burglary,2025-10-03,23:55:00,15.388474,75.141858,Hubli-Dharwad,Dharwad Town,"window_forced,residential",Under Investigation
197,Burglary,2025-10-16,13:07:00,15.388929,75.11255,Hubli-Dharwad,Town Station,"night_entry,residential",Solved
198,Burglary,2025-10-10,11:04:00,15.343363,75.162277,Hubli-Dharwad,Vidyagiri,"broken_lock,cctv_sprayed",Under Investigation
199,Burglary,2025-10-19,16:55:00,15.365768,75.09992,Hubli-Dharwad,Gokul Road,"residential,night_entry",Under Investigation
200,Burglary,2025-10-06,17:05:00,15.328151,75.157674,Hubli-Dharwad,Vidyagiri,"window_forced,cctv_sprayed",Charge Sheeted
201,Burglary,2025-10-10,06:12:00,15.377736,75.160134,Hubli-Dharwad,Town Station,"night_entry,residential",Charge Sheeted
202,Burglary,2025-10-20,14:28:00,15.387063,75.14054,Hubli-Dharwad,Vidyagiri,"broken_lock,window_forced",Under Investigation
203,Burglary,2025-10-25,12:39:00,15.388662,75.1316,Hubli-Dharwad,Town Station,"night_entry,residential",Solved
204,Burglary,2025-10-14,02:13:00,15.368045,75.102817,Hubli-Dharwad,Vidyagiri,"cctv_sprayed,broken_lock",Unsolved
205,Burglary,2025-10-09,02:01:00,15.40377,75.108898,Hubli-Dharwad,Vidyagiri,"window_forced,residential",Charge Sheeted
206,Burglary,2025-10-10,12:56:00,15.364532,75.133879,Hubli-Dharwad,Vidyagiri,"cctv_sprayed,broken_lock",Solved
207,Burglary,2025-10-12,02:44:00,15.396972,75.101694,Hubli-Dharwad,Vidyagiri,"night_entry,cctv_sprayed",Charge Sheeted
